RR_Mission,ID,Description,single_logp,single_NES,in_full_referee,within_study_selection_freq,n_success,n_attempt,verdict
RR1_NASA,GO:0034614,cellular response to reactive oxygen species,1.047,-1.48,true,0.967,30,30,heterogeneity_loss
RR1_NASA,GO:0006066,alcohol metabolic process,1.593,-1.411,true,1,30,30,heterogeneity_loss
RR1_NASA,GO:0019216,regulation of lipid metabolic process,1.035,-1.28,false,0.967,30,30,heterogeneity_loss
RR6,GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,3.874,-2.243,true,1,30,30,heterogeneity_loss
RR6,GO:0050881,musculoskeletal movement,3.136,2.201,false,1,30,30,heterogeneity_loss
RR6,GO:0003009,skeletal muscle contraction,3.284,2.194,false,1,30,30,heterogeneity_loss
RR6,GO:0050879,multicellular organismal movement,3.58,2.16,false,1,30,30,heterogeneity_loss
RR6,GO:0002483,antigen processing and presentation of endogenous peptide antigen,2.922,-2.142,true,0,30,30,likely_noise
RR6,GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,2.922,-2.142,true,0,30,30,likely_noise
RR6,GO:0006953,acute-phase response,2.843,-2.097,true,1,30,30,heterogeneity_loss
RR6,GO:0090009,primitive streak formation,1.798,2.091,false,0,30,30,likely_noise
RR6,GO:0006068,ethanol catabolic process,2.413,-2.077,false,1,30,30,heterogeneity_loss
RR6,GO:0019883,antigen processing and presentation of endogenous antigen,2.993,-2.057,true,0,30,30,likely_noise
RR6,GO:0002476,antigen processing and presentation of endogenous peptide antigen via MHC class Ib,2.233,-2.051,true,0,30,30,likely_noise
RR6,GO:0002484,antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway,2.233,-2.051,true,0,30,30,likely_noise
RR6,GO:0034308,primary alcohol metabolic process,3.833,-2.045,true,1,30,30,heterogeneity_loss
RR6,GO:0034310,primary alcohol catabolic process,2.55,-2.037,false,1,30,30,heterogeneity_loss
RR6,GO:0006067,ethanol metabolic process,2.53,-2.036,false,1,30,30,heterogeneity_loss
RR6,GO:0002486,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",2.577,-2.034,true,0,30,30,likely_noise
RR6,GO:0033865,nucleoside bisphosphate metabolic process,2.655,-2.028,false,1,30,30,heterogeneity_loss
RR6,GO:0033875,ribonucleoside bisphosphate metabolic process,2.655,-2.028,false,1,30,30,heterogeneity_loss
RR6,GO:0034032,purine nucleoside bisphosphate metabolic process,2.655,-2.028,false,1,30,30,heterogeneity_loss
RR6,GO:0034035,purine ribonucleoside bisphosphate metabolic process,2.655,-2.028,false,1,30,30,heterogeneity_loss
RR6,GO:0050427,3'-phosphoadenosine 5'-phosphosulfate metabolic process,2.655,-2.028,false,1,30,30,heterogeneity_loss
RR6,GO:0006066,alcohol metabolic process,7.193,-2.003,true,1,30,30,heterogeneity_loss
RR6,GO:0001975,response to amphetamine,1.662,1.99,false,0,30,30,likely_noise
RR6,GO:1901970,positive regulation of mitotic sister chromatid separation,1.765,-1.977,false,0,30,30,likely_noise
RR6,GO:0002428,antigen processing and presentation of peptide antigen via MHC class Ib,2.092,-1.969,true,0,30,30,likely_noise
RR6,GO:0002475,antigen processing and presentation via MHC class Ib,2.128,-1.961,true,0,30,30,likely_noise
RR6,GO:0010965,regulation of mitotic sister chromatid separation,2.378,-1.959,false,0,30,30,likely_noise
RR6,GO:0007094,mitotic spindle assembly checkpoint signaling,1.963,-1.952,false,0,30,30,likely_noise
RR6,GO:0071173,spindle assembly checkpoint signaling,1.963,-1.952,false,0,30,30,likely_noise
RR6,GO:0071174,mitotic spindle checkpoint signaling,1.963,-1.952,false,0,30,30,likely_noise
RR6,GO:0033046,negative regulation of sister chromatid segregation,1.999,-1.946,false,0,30,30,likely_noise
RR6,GO:0033048,negative regulation of mitotic sister chromatid segregation,1.999,-1.946,false,0,30,30,likely_noise
RR6,GO:0045841,negative regulation of mitotic metaphase/anaphase transition,1.999,-1.946,false,0,30,30,likely_noise
RR6,GO:2000816,negative regulation of mitotic sister chromatid separation,1.999,-1.946,false,0,30,30,likely_noise
RR6,GO:0031577,spindle checkpoint signaling,2.104,-1.945,false,0,30,30,likely_noise
RR6,GO:0007096,regulation of exit from mitosis,1.548,-1.93,false,0,30,30,likely_noise
RR6,GO:1902100,negative regulation of metaphase/anaphase transition of cell cycle,2.128,-1.921,false,0,30,30,likely_noise
RR6,GO:1905819,negative regulation of chromosome separation,2.128,-1.921,false,0,30,30,likely_noise
RR6,GO:0060004,reflex,1.339,1.921,false,0,30,30,likely_noise
RR6,GO:0051306,mitotic sister chromatid separation,2.22,-1.91,false,0,30,30,likely_noise
RR6,GO:0008608,attachment of spindle microtubules to kinetochore,2.216,-1.909,false,0,30,30,likely_noise
RR6,GO:0051784,negative regulation of nuclear division,2.116,-1.908,false,0,30,30,likely_noise
RR6,GO:0042776,proton motive force-driven mitochondrial ATP synthesis,1.999,-1.903,false,0,30,30,likely_noise
RR6,GO:0045842,positive regulation of mitotic metaphase/anaphase transition,1.525,-1.887,false,0,30,30,likely_noise
RR6,GO:0008202,steroid metabolic process,5.442,-1.885,false,1,30,30,heterogeneity_loss
RR6,GO:0015986,proton motive force-driven ATP synthesis,1.999,-1.883,false,0,30,30,likely_noise
RR6,GO:0033047,regulation of mitotic sister chromatid segregation,1.985,-1.872,false,0,30,30,likely_noise
RR6,GO:0045839,negative regulation of mitotic nuclear division,1.952,-1.858,false,0,30,30,likely_noise
RR6,GO:0051791,medium-chain fatty acid metabolic process,1.201,1.857,false,1,30,30,heterogeneity_loss
RR6,GO:0051985,negative regulation of chromosome segregation,1.608,-1.853,false,0,30,30,likely_noise
RR6,GO:0055062,phosphate ion homeostasis,1.01,1.847,false,0,30,30,likely_noise
RR6,GO:0071394,cellular response to testosterone stimulus,1.156,-1.833,false,0,30,30,likely_noise
RR6,GO:0006359,regulation of transcription by RNA polymerase III,1.156,1.827,true,0,30,30,likely_noise
RR6,GO:0021533,cell differentiation in hindbrain,1.248,1.825,true,1,30,30,heterogeneity_loss
RR6,GO:0046686,response to cadmium ion,1.588,-1.822,false,0,30,30,likely_noise
RR6,GO:0051923,sulfation,1.116,-1.821,false,1,30,30,heterogeneity_loss
RR6,GO:0048149,behavioral response to ethanol,1.031,1.817,false,0,30,30,likely_noise
RR6,GO:0038166,angiotensin-activated signaling pathway,1.03,1.816,false,0,30,30,likely_noise
RR6,GO:0021697,cerebellar cortex formation,1.12,1.813,true,1,30,30,heterogeneity_loss
RR6,GO:0046164,alcohol catabolic process,1.258,-1.81,false,1,30,30,heterogeneity_loss
RR6,GO:0090306,meiotic spindle assembly,1.031,-1.808,false,0,30,30,likely_noise
RR6,GO:0061179,negative regulation of insulin secretion involved in cellular response to glucose stimulus,1.159,-1.807,false,0,30,30,likely_noise
RR6,GO:0009409,response to cold,1.39,1.789,false,1,30,30,heterogeneity_loss
RR6,GO:0051304,chromosome separation,1.422,-1.783,false,0,30,30,likely_noise
RR6,GO:0043903,regulation of biological process involved in symbiotic interaction,1.216,-1.779,true,0,30,30,likely_noise
RR6,GO:0002023,reduction of food intake in response to dietary excess,1.072,1.775,false,1,30,30,heterogeneity_loss
RR6,GO:0032780,negative regulation of ATP-dependent activity,1.019,-1.759,false,0,30,30,likely_noise
RR6,GO:0045475,locomotor rhythm,1.01,-1.751,false,0,30,30,likely_noise
RR6,GO:0035458,cellular response to interferon-beta,1.4,-1.751,false,1,30,30,heterogeneity_loss
RR6,GO:0002118,aggressive behavior,1.03,1.748,false,0,30,30,likely_noise
RR6,GO:0043647,inositol phosphate metabolic process,1.248,1.745,false,0,30,30,likely_noise
RR6,GO:0051310,metaphase chromosome alignment,1.673,-1.737,false,0,30,30,likely_noise
RR6,GO:0033108,mitochondrial respiratory chain complex assembly,1.555,-1.736,false,0,30,30,likely_noise
RR6,GO:0001523,retinoid metabolic process,1.375,-1.731,true,0,30,30,likely_noise
RR6,GO:0051783,regulation of nuclear division,1.81,-1.73,false,0,30,30,likely_noise
RR6,GO:1905818,regulation of chromosome separation,1.471,-1.724,false,0,30,30,likely_noise
RR6,GO:0042572,retinol metabolic process,1.32,-1.723,true,0,30,30,likely_noise
RR6,GO:0000212,meiotic spindle organization,1.045,-1.723,false,0,30,30,likely_noise
RR6,GO:0035456,response to interferon-beta,1.165,-1.711,false,0,30,30,likely_noise
RR6,GO:0007143,female meiotic nuclear division,1.018,-1.709,false,0,30,30,likely_noise
RR6,GO:0030239,myofibril assembly,1.047,1.693,false,0,30,30,likely_noise
RR6,GO:0006692,prostanoid metabolic process,1.047,-1.69,true,0,30,30,likely_noise
RR6,GO:0016101,diterpenoid metabolic process,1.4,-1.686,true,0,30,30,likely_noise
RR6,GO:0000070,mitotic sister chromatid segregation,2.227,-1.681,false,0,30,30,likely_noise
RR6,GO:0007088,regulation of mitotic nuclear division,1.233,-1.678,false,0,30,30,likely_noise
RR6,GO:0050000,chromosome localization,1.639,-1.668,false,0,30,30,likely_noise
